message,label,category
The requested attachment was sent earlier.,0,normal
That sounds good to me.,0,normal
The certificate was renewed successfully.,0,normal
Can you review the contract and provide feedback?,1,follow_up
Please investigate the unusual account activity.,1,urgent
The deployment cannot continue without the environment variable.,1,unresolved
Can you join the incident call in ten minutes?,1,urgent
The urgent issue has already been fixed.,0,normal
Can you verify that the health endpoint is responding?,1,question
Can you review the deployment logs before noon?,1,follow_up
Who will complete the server migration?,1,question
Please confirm whether the meeting time still works.,1,follow_up
The workflow finished successfully.,0,normal
Please reset my account before tomorrow morning.,1,deadline
The final decision has been recorded.,0,normal
We still need approval before releasing this change.,1,unresolved
The account was restored this morning.,0,normal
The team approved the release.,0,normal
The customer needs an answer before the end of the day.,1,deadline
Why has the application not been deployed yet?,1,question
Welcome to the group.,0,normal
The production API is available again.,0,normal
The release remains blocked until the security review is complete.,1,unresolved
The invoice must be approved before it can be paid.,1,deadline
Everything looks correct.,0,normal
Can you approve the production release?,1,question
Please respond as soon as possible.,1,urgent
The environment variable was configured correctly.,0,normal
Please confirm that you received this message.,1,follow_up
The security review is complete.,0,normal
Please investigate the failed authentication requests.,1,follow_up
Who can help resolve the failed workflow?,1,question
The application was deployed successfully.,0,normal
Can you update the project status this afternoon?,1,follow_up
The evidence was received and archived.,0,normal
Call me immediately. This is an emergency.,1,urgent
I have already reviewed the deployment logs.,0,normal
The server restarted without errors.,0,normal
The production API is currently unavailable.,1,urgent
Please upload the revised document when it is ready.,1,follow_up
The incident remains open and requires further investigation.,1,unresolved
Can you send the missing attachment?,1,question
The payment deadline expires tomorrow.,1,deadline
The contract review is complete.,0,normal
We need your approval before purchasing the service.,1,unresolved
We need a decision about the deployment strategy.,1,unresolved
The deadline was extended until next month.,0,normal
Please let me know when the issue is resolved.,1,follow_up
The production issue has been resolved.,0,normal
We have not resolved the database connection problem.,1,unresolved
Could you explain why the test failed?,1,question
Did you complete the database backup?,1,question
Users are reporting that messages are disappearing.,1,urgent
Could you verify the new user's permissions?,1,follow_up
Why did the deployment fail again?,1,question
The incident was closed after testing.,0,normal
Could you send the updated report today?,1,follow_up
Your access request was approved.,0,normal
We still need someone to review the pull request.,1,unresolved
The pull request was reviewed and merged.,0,normal
I agree with the proposed approach.,0,normal
I hope you have a pleasant weekend.,0,normal
The meeting notes are attached.,0,normal
We have not received the requested evidence.,1,unresolved
Thank you for your help.,0,normal
The meeting ended at three o'clock.,0,normal
The application needs to be restarted before the next test.,1,deadline
The attachment contains the final version.,0,normal
I received your message.,0,normal
The user permissions were verified.,0,normal
The payment was processed yesterday.,0,normal
Can you confirm who owns this task?,1,question
Here is the information you requested.,0,normal
Please acknowledge the final governance decision.,1,follow_up
The incident call concluded without further action.,0,normal
The application is running normally.,0,normal
I completed the database migration.,0,normal
The support request has been waiting for three days.,1,unresolved
The unusual activity was investigated and cleared.,0,normal
Have a good evening.,0,normal
The report was submitted yesterday.,0,normal
The failed test has now passed.,0,normal
Please complete the access review by Thursday.,1,deadline
The database storage is almost full.,1,urgent
The production server is down and users cannot log in.,1,urgent
I reviewed the document.,0,normal
The application is returning errors for every login attempt.,1,urgent
Please respond by Friday with your decision.,1,deadline
The final report must be submitted by Monday.,1,deadline
The support request has been resolved.,0,normal
The project status was updated this afternoon.,0,normal
The updated documentation is now available.,0,normal
The access review was completed on Thursday.,0,normal
The question was answered during the meeting.,0,normal
Please check whether the backup completed successfully.,1,follow_up
The database backup completed successfully.,0,normal
The customer received the requested response.,0,normal
The security certificate expires this week.,1,deadline
The invoice was approved and paid.,0,normal
The deployment completed successfully.,0,normal
